PLAYER,YEAR,POS,BODY_FAT,HAND_LENGTH,HAND_WIDTH,HEIGHT,HEIGHT_SHOES,STAND_REACH,WEIGHT,WINGSPAN
Enes Kanter,2011,PF-C,5.90%,9.5,10.75,189,207,126,259.2,102
Eric Bledsoe,2010,PG,5.60%,8.5,9.75,75,90,120,191.6,162
Eric Mika,2017,PF-C,6.50%,8.25,8.75,174,189,222,232.8,192
Erick Green,2013,PG,4.35%,8.5,9,90,108,120,178.2,141
Erik Murphy,2013,PF,7.95%,8.75,9.75,177,186,108,239.8,198
Evan Turner,2010,SG,8.60%,8.75,9.5,141,156,186,213.8,168
Fab Melo,2012,C,9.20%,9,10,201,84,132,255,114
Festus Ezeli,2012,C-PF,5.50%,9,10.75,189,210,108,264.2,153
Frank Jackson,2017,PG,6.70%,8.25,9,96,114,120,201.6,162
Frank Kaminsky,2015,C-PF,9.40%,8.5,9.5,213,93,126,231.2,204
Frank Mason III,2017,PG,4.30%,8,9.25,192,72,204,188.8,111
Gani Lawal,2010,PF,6.30%,8.5,10,162,180,234,233.4,84
Gary Harris,2014,SG,4.55%,8.5,9.5,102,126,96,204.8,153
Gary Payton II,2016,PG,3.95%,8.75,9.5,96,108,138,183.8,168
George de Paula,2015,PG,6.70%,9.5,10.5,126,138,192,197,84
Georges Niang,2016,PF,10.05%,9.25,9.25,153,174,180,230.8,192
Glen Rice,2013,SF-SG,8.45%,8.5,9,126,141,162,210.8,183
Glenn Robinson III,2014,SF,5.05%,9,9.5,138,153,150,211.4,192
Gordon Hayward,2010,SF,6.90%,8.5,9.25,153,168,180,211,165
Gorgui Dieng,2013,C,5.35%,9,10,189,201,150,229.6,126
Grant Jerrett,2013,PF,10.05%,8.5,9.25,177,195,120,232,108
Greg Monroe,2010,PF-C,11.20%,8.75,9.5,189,204,114,246.6,111
Gregory Smith,2011,PF-C,7.40%,9.75,12,168,183,222,252.8,114
Greivis Vasquez,2010,PG-SG,8.60%,7.75,9.25,132,150,156,210.8,156
Hamidou Diallo,2017,SG-SF,5.20%,8.5,9.5,117,132,162,197.4,207
Harrison Barnes,2012,SF-SG,9.60%,9,8.5,156,168,162,227.8,207
Harry Giles,2017,PF,5.20%,9.5,10.75,183,198,126,232,123
Hassan Whiteside,2010,C-PF,5.50%,8.25,10.25,198,210,168,226.6,168
Henry Ellenson,2016,PF,11.20%,8.5,9.75,192,210,108,242,111
Henry Sims,2012,C-PF,7.70%,9.25,10,192,213,108,241.2,132
Hollis Thompson,2012,SF,6.00%,8.25,9.75,153,168,174,206,186
Ike Anigbogu,2017,C,5.40%,9.5,10,174,189,138,252.2,159
Iman Shumpert,2011,PG-SG,6.50%,9,9,123,138,138,221.8,186
Isaiah Austin,2014,PF,7.50%,8.75,8.75,210,90,162,219.5,138
Isaiah Briscoe,2017,PG,11.00%,9,9.25,87,105,138,222.4,180
Isaiah Canaan,2013,PG,5.90%,8.25,9.5,192,72,210,188.4,126
Isaiah Cousins,2016,PG,4.80%,8.25,8.75,111,126,126,194,147
Isaiah Hicks,2017,PF,7.70%,8.75,9.75,159,174,204,233.4,90
Isaiah Miles,2016,PF,9.60%,9,9.5,153,165,204,219.6,198
Isaiah Thomas,2011,PG,6.70%,8.25,9,165,183,174,186,93
